Gender,Área Metropolitana,Lisboa,Ajuda,Alcântara,Alvalade ,Areeiro,Arroios,Avenidas Novas,Beato,Belém,Benfica,Campo de Ourique,Campolide,Carnide,Estrela,Lumiar,Marvila,Misericórdia,Olivais,Parque das Nações,Penha de França,Santa Clara,Santa Maria Maior,Santo António,São Domingos de Benfica,São Vincente
WM,21.1,33.55,16.45,26.94,42.99,44.11,31.93,49.3,17.51,47.28,30.02,34.15,25.82,36.48,39.96,54.22,9.67,29.84,22.37,52.82,23.08,20.66,20.95,41.31,47.93,21.95
M,19.07,33.49,15.42,26.86,45.33,46.0,31.12,52.62,16.88,49.82,29.28,35.06,24.81,35.7,42.61,53.52,8.42,30.53,21.37,52.2,22.33,19.18,20.63,42.2,49.29,21.02
W,22.86,33.59,17.27,27.0,41.3,42.7,32.61,46.8,18.05,45.32,30.59,33.5,26.74,37.14,37.89,54.79,10.76,29.25,23.19,53.39,23.66,21.92,21.27,40.62,46.87,22.69
