X,Y,INF_NOME,MORADA1,FREGUESIA
-9.16244553700053,38.7166406986747,Casa Fernando Pessoa (encerrada até dezembro 2019),"['Biblioteca da Casa Fernando Pessoa', ' 16', ' Rua Coelho da Rocha', ' Campo de Ourique', ' Santa Isabel', ' Campo de Ourique', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1250-088', ' Portugal']",Campo de Ourique
-9.15451262611756,38.7182866967729,Casa-Museu Mestre João da Silva,"['Casa-Museu Mestre João da Silva', ' 11', ' Rua Tenente Raúl Cascais', ' Rato', ' Santo António', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1250-169', ' Portugal']",Santo António
-9.14474819859231,38.7132102262394,Museu Maçónico Português,"['Palácio do Grémio Lusitano', ' 25', ' Rua do Grémio Lusitano', ' Bairro Alto', ' Misericórdia', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1200-211', ' Portugal']",Misericórdia
-9.150397114119288,38.707810534668,Museu das Comunicações,"['Museu das Comunicações', ' 16', ' Rua do Instituto Industrial', ' São Paulo', ' São Bento', ' Misericórdia', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1200-225', ' Portugal']",Misericórdia
-9.13044206146705,38.7121172219711,Museu de Artes Decorativas Portuguesas ,"['Fundação Ricardo do Espírito Santo Silva', ' 2', ' Largo das Portas do Sol', ' Santiago', ' Alfama', ' Santa Maria Maior', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1100-411', ' Portugal']",Santa Maria Maior
-9.1799029084469,38.7016116963079,Museu da Carris,"['Museu da Carris', ' Ponte 25 de Abril', ' Carris - Estação de Recolha de Eléctricos de Santo Amaro', ' Almada', ' Pragal', ' Alcântara', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1300-366', ' Portugal']",Alcântara
-9.18403810882125,38.7513978049596,Museu Cosme Damião,"['Museu Cosme Damião', ' Avenida Lusíada', ' São Domingos de Benfica', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1500-313', ' Portugal']",São Domingos de Benfica
-9.19371529016947,38.6960435311015,"MAAT - Museu de Arte, Arquitetura e Tecnologia","['Jardim Central Tejo', ' Avenida de Brasília', ' Belém', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1300-598', ' Portugal']",Belém
-9.198386801836449,38.6968006053555,Museu Nacional dos Coches,"['Museu Nacional dos Coches', ' 136', ' Avenida da Índia', ' Belém', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1300-300', ' Portugal']",Belém
-9.13268944867858,38.7101715097655,Museu do Aljube - Resistência e Liberdade,"['Pátio do Aljube', ' Sé', ' Alfama', ' Santa Maria Maior', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 2485-111', ' Portugal']",Santa Maria Maior
-9.21188968340091,38.6943685761155,Centro de Arqueologia de Lisboa,"['Centro de Arqueologia de Lisboa', ' 166', ' Avenida da Índia', ' Pedrouços', ' Belém', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1400-035', ' Portugal']",Belém
-9.137087783565919,38.709944816191104,Núcleo Arqueológico da Rua dos Correeiros (BCP),"['Núcleo Arqueológico da Rua dos Correeiros (BCP)', ' 21', ' Rua dos Correeiros', ' Baixa', ' Santa Maria Maior', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1100-061', ' Portugal']",Santa Maria Maior
-9.20773166042847,38.6957476930516,Museu Coleção Berardo,"['Centro Cultural de Belém', ' Rua Bartolomeu Dias', ' Pedrouços', ' Belém', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1400-031', ' Portugal']",Belém
-9.168213695796661,38.743298701627396,Museu das Crianças,"['Jardim Zoológico de Lisboa', ' Rua São Domingos de Benfica', ' São Domingos de Benfica', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1500-093 SÃO DOMINGOS DE BENFICA', ' Portugal']",São Domingos de Benfica
-9.13689138759032,38.7090385996979,Mude - Museu do Design e da Moda (encerrado até junho 2019),"['Museu do Design e da Moda', ' Coleção Francisco Capelo', ' 24', ' Rua Augusta', ' Baixa', ' Santa Maria Maior', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1100-053', ' Portugal']",Santa Maria Maior
-9.15643592363243,38.7584707156891,Museu de Lisboa - Palácio Pimenta,"['Museu de Lisboa - Palácio Pimenta', ' 245', ' Campo Grande', ' São João de Brito', ' Alvalade', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1700-097', ' Portugal']",Alvalade
-9.119874426890071,38.719733305504604,Museu da Água ,"['Museu da Água', ' 12', ' Rua do Alviela', ' Santa Engrácia', ' São Vicente', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1100-468', ' Portugal']",São Vicente
-9.13324088580393,38.70981644791421,Tesouro da Sé,"['Sé Catedral de Lisboa', ' Largo da Sé', ' Sé', ' Alfama', ' Santa Maria Maior', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1100-501', ' Portugal']",Santa Maria Maior
-9.20884093966717,38.7049054921874,Museu Nacional de Etnologia,"['Museu Nacional de Etnologia', ' Avenida da Ilha da Madeira', ' Restelo', ' Belém', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1400-203', ' Portugal']",Belém
-9.15457178287395,38.7154582624355,Casa-Museu Amália Rodrigues,"['Casa-Museu Amália Rodrigues', ' 193', ' Rua de São Bento', ' São Bento', ' Misericórdia', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1250-219', ' Portugal']",Misericórdia
-9.133877758102699,38.7100122268283,Museu de Lisboa - Santo António,"['Igreja de Santo António de Lisboa', ' Largo da Sé', ' Sé', ' Alfama', ' Santa Maria Maior', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1100-499', ' Portugal']",Santa Maria Maior
-9.1324910764093,38.7102533314747,Museu de Lisboa - Teatro Romano,"['Museu de Lisboa - Teatro Romano', ' 3A', ' Rua de São Mamede', ' Sé', ' Alfama', ' Santa Maria Maior', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1100-059', ' Portugal']",Santa Maria Maior
-9.150378140802161,38.7112801016357,Atelier-Museu Júlio Pomar,"['Atelier-Museu Júlio Pomar', ' 7', ' Rua do Vale', ' Mercês', ' São Bento', ' Misericórdia', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1200-472', ' Portugal']",Misericórdia
-9.154170970763849,38.758842589333,Museu Bordalo Pinheiro,"['Museu Bordalo Pinheiro', ' 382', ' Campo Grande', ' São João de Brito', ' Alvalade', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1700-097 LISBOA', ' Portugal']",Alvalade
-9.13257983714591,38.7090129815339,Museu de Lisboa - Casa dos Bicos,"['Casa dos Bicos', ' 10-10F', ' Rua dos Bacalhoeiros', ' Sé', ' Alfama', ' Santa Maria Maior', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1100', ' Portugal']",Santa Maria Maior
-9.20844625406731,38.6938036009253,Museu de Arte Popular,"['Museu de Arte Popular', ' Avenida de Brasília', ' Pedrouços', ' Belém', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1449-003', ' Portugal']",Belém
