X,Y,OBJECTID,COD_SIG_TR,COD_VIA,DESIGNACAO,HIERARQUIA,EIXO,TIPOLOGIA,SITUACAO,DUPL_TROC,ZONA,COMPRIMENTO,IDTIPO,SITUACAO_PROJ_OBRA,FREGUESIA,ZONAMENTO,ORCAMENTO,NOME_PROJETO,SITUACAO_PROJ,ANO,PERIODO,PLANEAMENTO_GVMG,TIPOLOGIA_AML,ESTADO_AML,F_PRINCIPAL,SGPI,VALIDACAO,GlobalID,Shape__Length
-9.19363815876979,38.7237301024457,1736,7305,100045,Estrada do Penedo,Local,,Trilho,Executado,N,-,173.79,9196,,Alcântara,Monsanto,0, ,,-,,,Via banalizada,Executado,Via destinada a funcoes de lazer,,,90eacbb6-2b25-4e6d-9778-0940c79dd4bb,223.064853495275
-9.17328910249596,38.7370576428225,1737,B0000199,B0000199,Monsanto,Local,,Trilho,Executado,N,-,270.87,9196,,Campolide,Monsanto,0, ,,-,,,Via banalizada,Executado,Via destinada a funcoes de lazer,,,b4b21c65-f9c9-4f83-845e-b998dc6c6665,347.810588096992
-9.1940547138329,38.7255408722032,1738,B0000200,B0000200,Monsanto,Local,,Trilho,Executado,N,-,186.54,9196,,Benfica,Monsanto,0, ,,-,,,Via banalizada,Executado,Via destinada a funcoes de lazer,,,20fe6ba3-ae96-4de7-8bf0-ba87f529a1ae,239.561747882515
-9.19193680941413,38.7429960642309,1739,B0000201,B0000201,Monsanto,Local,,Trilho,Executado,N,-,393.45,9196,,Benfica,Monsanto,0, ,,-,,,Via banalizada,Executado,Via destinada a funcoes de lazer,,,8972ab2a-0cfe-4d00-902a-dec35c90a5b9,504.231727479877
-9.14825918033688,38.7754759547251,1766,159043,6287,---- Eixo Central,Local,,Percurso Ciclo-pedonal,Executado,,-,171.56,9196,,Lumiar,Alta de Lisboa,0, ,,-,,,Via banalizada,Executado,Via destinada a funcoes quotidianas,,,d5a58bf5-d512-4f16-a809-68bbe9f17dff,220.568448027658
-9.14798086968552,38.7761499200472,1767,159179,6287,---- Eixo Central,Local,,Percurso Ciclo-pedonal,Executado,,-,9.67,9196,,Lumiar,Alta de Lisboa,0, ,,-,,,Via banalizada,Executado,Via destinada a funcoes quotidianas,,,8156fe15-8ba0-4a87-91b5-753b755e170a,12.4353983938999
-9.14771854455448,38.7767851623899,1768,159178,6287,---- Eixo Central,Local,,Percurso Ciclo-pedonal,Executado,,-,164.15,9196,,Lumiar,Alta de Lisboa,0, ,,-,,,Via banalizada,Executado,Via destinada a funcoes quotidianas,,,55e726bb-789e-4745-9ca9-08ec466f9001,211.04536370758
-9.1562457098626,38.7755995209417,1769,B0000181,B0000181,Parque Oeste,Local,,Percurso Ciclo-pedonal,Executado,N,-,342.4,9196,,Lumiar,,0, ,,-,,,Via banalizada,Executado,Via destinada a funcoes quotidianas,,,eae40018-1a5d-492d-b37a-d031049fe4fd,440.23759539399
-9.17527235682509,38.7360322506766,1776,B0000203,B0000203,Rua Inácio Pardelhas Sanchez,Local,,Trilho,Executado,N,-,138.02,9196,,São Domingos de Benfica,Monsanto,0, ,,-,,,Via banalizada,Executado,Via destinada a funcoes de lazer,,,f890d460-404a-4826-b064-7cae0ee506ee,176.723884689342
-9.21255512583629,38.6936874888649,1778,B0000204,B0000204,Troço da Frente Ribeirinha,Local,,Pista Ciclável Bidirecional,Executado,N,-,2095.43,9196,,Belém,Frente Ribeirinha,0,Cais do Sodré - Torre de Belém,,2009,,,Pista ciclavel (ciclovia),Executado,Vias mistas (agrega as duas funcoes anteriores),,,2f79d779-108c-4465-a3f8-be1f11193ee5,2684.35772501979
-9.18311410307211,38.6976335501752,1779,B0000206,B0000206,Troço da Frente Ribeirinha,Local,,Pista Ciclável Bidirecional,Executado,N,-,786.35,9196,,Alcântara,Frente Ribeirinha,0,Cais do Sodré - Torre de Belém,,2009,,,Pista ciclavel (ciclovia),Executado,Vias mistas (agrega as duas funcoes anteriores),,,b74cef10-7115-478d-a865-2c3c599f9070,1006.3408349099
-9.18976849660377,38.7439529790264,1780,B0000202,B0000202,Parque Florestal de Monsanto - Parque Quinta da Granja,Local,,Pista Ciclável Bidirecional,Executado,N,-,16.03,9196,,São Domingos de Benfica,Monsanto,0, ,,-,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,1dab05ca-39e4-45bf-8062-2109093ab796,20.6024771514894
-9.14719560158219,38.7563622599615,1781,B0000134,B0000134,Avenida do Brasil,Principal,,Pista Ciclável Bidirecional,Executado,N,-,736.44,9196,,Alvalade,Alvalade Norte,0,Jardim do Campo Grande - Parque Vale de Chelas,,2009,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,4f54133b-9eb0-4bb3-aefe-90d3bfa6d120,943.642595872716
-9.12143506194834,38.7609289895325,1783,B0000247,B0000247,Rua Pardal Monteiro,Principal,Olivais - Beato,Pista Ciclável Bidirecional,Executado,N,-,76.41,9196,,Marvila,,0,Parque Vale de Chelas - Parque das Nações,,2012,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,934a96fb-b2ee-4f8f-a9dd-fe73be8ec109,98.0679869584225
-9.1970886630059,38.7634081183465,1785,B0000248,B0000248,Parque Verde da Feira Popular,Complementar,,Pista Ciclável Bidirecional,Executado,N,DMEVAE,106.78,9196,,Carnide,,0,Pontinha - Feira Popular,,2018,,,Pista ciclavel (ciclovia),Executado,Vias mistas (agrega as duas funcoes anteriores),,,206a0eb1-d6c8-4888-9a44-e1aade982fba,137.079756388445
-9.19653923507584,38.7624813145944,1786,B0000142,B0000142,Parque Verde da Feira Popular,Principal,Alcântara - Luz,Pista Ciclável Bidirecional,Executado,N,DMEVAE,120.37,9196,,Carnide,,0,Pontinha - Feira Popular,,2018,,,Pista ciclavel (ciclovia),Executado,Vias mistas (agrega as duas funcoes anteriores),,,5e05c4f0-4e4d-4dae-9c46-c435bfbba83c,154.514766313365
-9.14594430968538,38.7053926217927,1812,B0000008,B0000008,Troço da Frente Ribeirinha,Local,,Pista Ciclável Bidirecional,Executado,N,-,801.36,9196,,Misericórdia,Frente Ribeirinha,0,Cais do Sodré - Torre de Belém,,2009,,,Pista ciclavel (ciclovia),Executado,Vias mistas (agrega as duas funcoes anteriores),,,0f0425d5-27e1-49cb-9f82-da9b634b0c6b,1026.25852703568
-9.15586552017699,38.7555023119146,1823,B0000150,B0000150,Cidade Universitária,Local,,Pista Ciclável Bidirecional,Executado,N,-,29.23,9196,,Alvalade,,0, ,,2009,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,f89ac903-01d2-4ef8-8fc1-307a9b3bf316,37.5625843038759
-9.15494107033567,38.749188014302,1864,B0000153,B0000153,Rua Branca Edmée Marques,Local,,Faixas Cicláveis ou Contrafluxos,Executado,N,-,86.24,9196,Empreitada 12/DMPO/DIVPS,Alvalade,Cidade Universitária,0,Rua Branca Edmée Marques,,2017,,,Faixa ciclavel,Executado,Via destinada a funcoes quotidianas,,,4f0d83c4-126a-46fc-ae84-99ba549d2dd1,110.513598745959
-9.1555055573573,38.7490808021447,1865,151326,101784,Rua Prof.ª Teresa Ambrósio,Local,,30+Bici,Executado,N,-,55.34,9196,,Alvalade,,0, ,,2017,,,Via banalizada,Executado,Via destinada a funcoes quotidianas,,,11cdd379-59f5-4d5a-8470-7191ccd43ced,71.1144241102011
