X,Y,INF_NOME,INF_DESCRICAO,MORADA1,FREGUESIA
-9.15823432747504,38.7542411692494,Universidade de Lisboa - Faculdade de Letras,,"['Universidade de Lisboa - Cidade Universitária', ' Alameda da Universidade', ' Alvalade', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1649-028', ' Portugal']",Alvalade
-9.19524809901351,38.7461475506632,Instituto Politécnico de Lisboa - Escola Superior de Educação de Lisboa,Público/Politécnico,"['Campus do Instituto Politécnico de Lisboa - Benfica', "" Rua Joaquim Paço d'Arcos"", ' Benfica', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1500-083', ' Portugal']",Benfica
-9.19524809901351,38.7461475506632,Instituto Politécnico de Lisboa - Campus,Público/Politécnico,"['Campus do Instituto Politécnico de Lisboa - Benfica', "" Rua Joaquim Paço d'Arcos"", ' Benfica', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1500-083', ' Portugal']",Benfica
-9.11319008172556,38.743614499757705,Escola Superior de Actividades Imobiliárias,Privado/Universitário,"['Praça Eduardo Mondlane', ' Bairro do Condado', ' Marvila', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1950-230 MARVILA', ' Portugal']",Marvila
-9.19543738662027,38.714280172043296,Universidade de Lisboa - Faculdade de Medicina Veterinária,"Construído entre 1995 e 1998,para a Universidade Técnica de Lisboa,este edifício,com projecto do arq. João Lúcio Lopes,recebeu uma Menção Honrosa do Prémio Valmor de 1999,uma vez que o júri decidiu não atribuir o prémio principal nesse ano.O edifício procura expressar uma imagem marcadamente urbana,enquadrando soluções arquitectónicas diferenciadas num conjunto que se pretendeu unitário.Surgindo como um remate construído ao Vale da Ajuda,implantado a meia encosta e enquadrado pelo muro existente e por uma via de circulação periférica ao Campus,traduz um programa heterogéneo,capaz de acolher vários departamentos autónomos,com acesso ao exterior através de múltiplas ligações.Segundo o autor foram definidos '(¿) percursos, atravessamentos, ruas, praças, transparências e opacidades (¿) tipologias diversas para programas de ocupação variados, suportados por volumetrias estabilizadas no seu relacionamento simples e directo.'.A FMV tem por missão favorecer a  qualidade e o desenvolvimento do País na área da Ciência Animal e em particular na área das Ciências Veterinárias,através da prossecução dos seguintes objectivos:dar formação de nível superior aos seus estudantes;contribuir para o progresso científico e o desenvolvimento tecnológico;prestar serviços qualificados à comunidade;disponibilizar acções de formação profissional;atribuir graus académicos e títulos honoríficos;cooperar com outras Instituições nacionais e internacionais em áreas científicas,técnicas e culturais;e consolidar a formação humana e cultural dos seus membros.
","['Faculdade de Medicina Veterinária', ' Avenida da Universidade Técnica', ' Ajuda', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1300-477', ' Portugal']",Ajuda
-9.158204135098359,38.7527164804479,Universidade de Lisboa,,"['Aula Magna', ' Alameda da Universidade', ' São João de Brito', ' Alvalade', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1649-028', ' Portugal']",Alvalade
-9.1782113574107,38.704093373858,Instituto Superior de Ciências Policiais e Segurança Interna,Público Militar e Policial/Universitário. O Instituto Superior de Ciências Policiais e Segurança Interna (ISCPSI) é uma instituição de ensino superior público universitário policial.,"['Mosteiro do Monte Calvário', ' Rua Primeiro de Maio', ' Santo Amaro', ' Alcântara', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1300-113', ' Portugal']",Alcântara
-9.13934996153859,38.736736418361296,Universidade de Lisboa - Instituto Superior Técnico - Campus da Alameda,,"['Instituto Superior Técnico', ' 1', ' Avenida Rovisco Pais', ' Areeiro', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1049-001', ' Portugal']",Areeiro
-9.139427885897911,38.719773280131704,Universidade Nova de Lisboa  - Faculdade de Ciências Médicas,,"['Universidade Nova', ' Faculdade de Ciências Médicas', ' Campo dos Mártires da Pátria', ' Pena', ' Arroios', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1169-017', ' Portugal']",Arroios
-9.15514792187302,38.7493625770105,Instituto de Geografia e Ordenamento do Território (IGOT),"
","['Universidade de Lisboa - Cidade Universitária', ' Alameda da Universidade', ' Alvalade', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1649-028', ' Portugal']",Alvalade
